Sample Name,VDBPM ID,Sample Name,VDBPM ID,Sample Name,VDBPM ID,Sample Name,VDBPM ID,Type
NA0012484733-Q1 ,20216,NA0012484733-Q2 ,20221,NA0012484733-F1 ,20254,NA0012484733-F2 ,20259,B
NA0012485228-Q1 ,20217,NA0012485228-Q2 ,20222,NA0012485228-F1 ,20255,NA0012485228-F2 ,20260,B
NA0012482460-Q1 ,20218,NA0012482460-Q2 ,20223,NA0012482460-F1 ,20256,NA0012482460-F2 ,20261,B
NA0012482632-Q1 ,20219,NA0012482632-Q2 ,20224,NA0012482632-F1 ,20257,NA0012482632-F2 ,20262,B
pGEMTez-A-Q1 ,20210,pGEMTez-A-Q2 ,20215,pGEMTez-A-F1 ,20248,pGEMTez-A-F2 ,20253,B
pGEMTez-B-Q1a ,20220,pGEMTez-B-Q2a,20225,pGEMTez-B-F1a ,20258,pGEMTez-B-F2a,20263,B
NA0012482538-Q1 ,20227,NA0012482538-Q2 ,20234,NA0012482538-F1 ,20267,NA0012482538-F2 ,20275,B
NA0012485360-Q1 ,20228,NA0012485360-Q2 ,20235,NA0012485360-F1 ,20268,NA0012485360-F2 ,20276,B
NA0012485000-Q1 ,20229,NA0012485000-Q2 ,20236,NA0012485000-F1 ,20269,NA0012485000-F2 ,20277,B
NA0012485190-Q1 ,20230,NA0012485190-Q2 ,20237,NA0012485190-F1 ,20270,NA0012485190-F2 ,20278,B
NA0012484858-Q1 ,20231,NA0012484858-Q2 ,20238,NA0012484858-F1 ,20271,NA0012484858-F2 ,20279,B
NA0012484681-Q1 ,20232,NA0012484681-Q2 ,20239,NA0012484681-F1 ,20272,NA0012484681-F2 ,20280,B
NA0012481996-Q1 ,20233,NA0012481996-Q2 ,20240,NA0012481996-F1 ,20273,NA0012481996-F2 ,20281,B
pGEMTez-B-Q1b,20242,pGEMTez-B-Q2b,20243,pGEMTez-B-F1b ,20274,pGEMTez-B-F2b,20282,B
